angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[88, 85, 230, 310]",,0.0,,0.07,,0.01,,0.78,,0.08,,0.03,
0.04,,"[88, 85, 230, 309]",,0.0,,0.06,,0.01,,0.79,,0.08,,0.03,
0.04,,"[88, 84, 230, 310]",,0.0,,0.07,,0.0,,0.79,,0.07,,0.03,
0.04,,"[88, 85, 229, 309]",,0.0,,0.08,,0.0,,0.77,,0.08,,0.03,
0.04,,"[88, 85, 229, 309]",,0.0,,0.08,,0.0,,0.77,,0.07,,0.03,
0.03,,"[88, 86, 229, 308]",,0.0,,0.07,,0.0,,0.78,,0.08,,0.03,
0.04,,"[88, 86, 229, 308]",,0.0,,0.08,,0.0,,0.76,,0.09,,0.04,
0.05,,"[88, 86, 229, 307]",,0.0,,0.09,,0.0,,0.75,,0.08,,0.03,
0.05,,"[88, 86, 229, 307]",,0.0,,0.09,,0.0,,0.75,,0.08,,0.03,
0.05,,"[89, 87, 228, 307]",,0.0,,0.08,,0.0,,0.74,,0.08,,0.04,
0.04,,"[88, 87, 228, 306]",,0.0,,0.09,,0.0,,0.76,,0.09,,0.03,
0.05,,"[88, 87, 228, 306]",,0.0,,0.1,,0.0,,0.72,,0.1,,0.03,
0.07,,"[88, 86, 228, 307]",,0.0,,0.12,,0.0,,0.67,,0.09,,0.05,
0.07,,"[88, 86, 228, 307]",,0.0,,0.13,,0.0,,0.64,,0.1,,0.05,
0.04,,"[88, 87, 228, 307]",,0.0,,0.09,,0.0,,0.75,,0.08,,0.04,
0.06,,"[88, 85, 229, 310]",,0.0,,0.08,,0.0,,0.73,,0.1,,0.03,
0.04,,"[88, 86, 229, 309]",,0.0,,0.09,,0.0,,0.73,,0.09,,0.04,
0.04,,"[88, 87, 228, 307]",,0.0,,0.09,,0.0,,0.75,,0.09,,0.04,
0.04,,"[88, 86, 229, 309]",,0.0,,0.1,,0.0,,0.72,,0.1,,0.04,
0.04,,"[88, 87, 229, 307]",,0.0,,0.08,,0.0,,0.77,,0.08,,0.03,
0.04,,"[88, 87, 229, 307]",,0.0,,0.08,,0.0,,0.77,,0.08,,0.03,
0.06,,"[89, 86, 228, 308]",,0.0,,0.1,,0.0,,0.7,,0.09,,0.04,
0.06,,"[88, 86, 229, 308]",,0.0,,0.1,,0.0,,0.7,,0.09,,0.04,
0.05,,"[89, 87, 228, 307]",,0.0,,0.1,,0.0,,0.68,,0.11,,0.05,
0.06,,"[88, 86, 229, 308]",,0.0,,0.1,,0.0,,0.7,,0.09,,0.04,
0.06,,"[88, 86, 229, 307]",,0.0,,0.12,,0.0,,0.67,,0.09,,0.05,
0.04,,"[88, 87, 228, 306]",,0.0,,0.09,,0.0,,0.73,,0.09,,0.04,
0.06,,"[89, 85, 228, 309]",,0.0,,0.09,,0.0,,0.72,,0.1,,0.03,
0.04,,"[88, 87, 228, 306]",,0.0,,0.09,,0.0,,0.76,,0.08,,0.03,
0.08,,"[87, 86, 229, 306]",,0.0,,0.2,,0.0,,0.51,,0.13,,0.09,
0.08,,"[87, 86, 229, 306]",,0.0,,0.19,,0.0,,0.51,,0.13,,0.09,
0.04,,"[87, 86, 229, 307]",,0.0,,0.13,,0.0,,0.66,,0.1,,0.06,
0.08,,"[88, 86, 228, 306]",,0.0,,0.18,,0.0,,0.53,,0.12,,0.09,
0.08,,"[88, 86, 228, 306]",,0.0,,0.17,,0.0,,0.53,,0.13,,0.08,
0.05,,"[87, 86, 229, 308]",,0.0,,0.11,,0.0,,0.68,,0.1,,0.06,
0.1,,"[85, 76, 232, 313]",,0.0,,0.19,,0.01,,0.47,,0.11,,0.12,
0.1,,"[85, 76, 232, 313]",,0.0,,0.19,,0.01,,0.47,,0.11,,0.12,
0.09,,"[86, 80, 231, 309]",,0.0,,0.13,,0.01,,0.61,,0.1,,0.06,
0.09,,"[86, 80, 231, 309]",,0.0,,0.13,,0.01,,0.61,,0.1,,0.06,
0.1,,"[85, 77, 233, 312]",,0.0,,0.17,,0.01,,0.52,,0.12,,0.08,
0.09,,"[85, 76, 231, 311]",,0.0,,0.26,,0.01,,0.36,,0.15,,0.13,
0.08,,"[85, 75, 233, 312]",,0.0,,0.23,,0.01,,0.32,,0.11,,0.24,
0.09,,"[84, 75, 234, 312]",,0.0,,0.21,,0.01,,0.36,,0.11,,0.21,
0.11,,"[85, 78, 233, 311]",,0.0,,0.16,,0.01,,0.54,,0.12,,0.06,
0.11,,"[85, 77, 233, 312]",,0.0,,0.2,,0.01,,0.47,,0.12,,0.09,
0.1,,"[85, 79, 232, 310]",,0.0,,0.13,,0.01,,0.6,,0.11,,0.05,
0.09,,"[87, 80, 229, 311]",,0.0,,0.18,,0.01,,0.52,,0.11,,0.1,
0.09,,"[87, 81, 228, 310]",,0.0,,0.2,,0.01,,0.43,,0.1,,0.17,
0.09,,"[87, 81, 228, 310]",,0.0,,0.2,,0.01,,0.43,,0.1,,0.17,
0.04,,"[87, 86, 229, 307]",,0.0,,0.11,,0.0,,0.69,,0.1,,0.06,
0.04,,"[88, 86, 227, 307]",,0.0,,0.11,,0.0,,0.69,,0.1,,0.06,
0.05,,"[87, 85, 228, 308]",,0.0,,0.09,,0.0,,0.71,,0.09,,0.06,
0.05,,"[87, 86, 228, 307]",,0.0,,0.1,,0.0,,0.67,,0.1,,0.07,
0.05,,"[87, 87, 227, 305]",,0.0,,0.12,,0.0,,0.66,,0.11,,0.06,
0.06,,"[87, 86, 227, 306]",,0.0,,0.11,,0.0,,0.68,,0.1,,0.05,
0.05,,"[85, 87, 228, 305]",,0.0,,0.08,,0.0,,0.76,,0.08,,0.02,
0.05,,"[85, 87, 228, 305]",,0.0,,0.08,,0.0,,0.75,,0.09,,0.02,
0.04,,"[83, 86, 229, 306]",,0.0,,0.05,,0.01,,0.85,,0.04,,0.0,
0.04,,"[83, 86, 229, 306]",,0.0,,0.05,,0.01,,0.86,,0.04,,0.0,
0.05,,"[83, 87, 229, 305]",,0.0,,0.12,,0.01,,0.77,,0.04,,0.0,
0.05,,"[83, 87, 229, 305]",,0.0,,0.12,,0.01,,0.77,,0.04,,0.0,
0.05,,"[82, 86, 230, 308]",,0.0,,0.21,,0.01,,0.67,,0.05,,0.01,
0.05,,"[83, 85, 229, 308]",,0.0,,0.15,,0.01,,0.74,,0.05,,0.01,
0.04,,"[83, 87, 228, 304]",,0.0,,0.07,,0.01,,0.84,,0.04,,0.0,
0.04,,"[83, 87, 228, 304]",,0.0,,0.07,,0.01,,0.84,,0.04,,0.0,
0.05,,"[83, 86, 228, 305]",,0.0,,0.07,,0.01,,0.81,,0.06,,0.01,
0.05,,"[83, 86, 228, 305]",,0.0,,0.07,,0.01,,0.8,,0.06,,0.01,
0.05,,"[83, 86, 228, 305]",,0.0,,0.07,,0.01,,0.77,,0.09,,0.02,
0.05,,"[83, 86, 228, 305]",,0.0,,0.07,,0.0,,0.77,,0.09,,0.02,
0.04,,"[82, 87, 228, 304]",,0.0,,0.08,,0.0,,0.76,,0.09,,0.03,
0.05,,"[82, 87, 229, 304]",,0.0,,0.09,,0.0,,0.72,,0.11,,0.03,
0.05,,"[82, 77, 229, 314]",,0.0,,0.12,,0.01,,0.66,,0.08,,0.09,
0.06,,"[81, 78, 229, 314]",,0.0,,0.12,,0.01,,0.66,,0.09,,0.07,
0.05,,"[82, 77, 229, 314]",,0.0,,0.12,,0.01,,0.63,,0.08,,0.11,
0.05,,"[82, 77, 228, 315]",,0.0,,0.1,,0.01,,0.68,,0.07,,0.08,
0.08,0.06,"[82, 81, 230, 308]","[339, 223, 54, 79]",0.0,0.0,0.21,0.19,0.01,0.23,0.5,0.21,0.1,0.28,0.1,0.03
0.1,,"[81, 83, 230, 307]",,0.0,,0.16,,0.0,,0.57,,0.09,,0.08,
0.07,,"[82, 79, 230, 309]",,0.0,,0.16,,0.01,,0.58,,0.11,,0.08,
0.07,,"[82, 81, 230, 308]",,0.0,,0.19,,0.0,,0.47,,0.11,,0.16,
0.05,,"[84, 82, 229, 309]",,0.0,,0.08,,0.0,,0.73,,0.09,,0.04,
0.06,,"[83, 81, 229, 310]",,0.0,,0.13,,0.01,,0.63,,0.1,,0.07,
0.06,,"[84, 81, 229, 309]",,0.0,,0.12,,0.01,,0.63,,0.09,,0.09,
0.05,,"[84, 80, 229, 310]",,0.0,,0.12,,0.01,,0.61,,0.09,,0.12,
0.07,,"[84, 82, 229, 308]",,0.0,,0.11,,0.0,,0.66,,0.1,,0.06,
0.08,,"[83, 75, 229, 315]",,0.0,,0.18,,0.01,,0.51,,0.12,,0.1,
0.08,,"[85, 82, 228, 307]",,0.0,,0.13,,0.0,,0.6,,0.11,,0.07,
0.08,,"[85, 82, 228, 307]",,0.0,,0.14,,0.0,,0.59,,0.12,,0.07,
0.06,,"[85, 83, 228, 307]",,0.0,,0.09,,0.0,,0.71,,0.09,,0.04,
0.09,,"[86, 82, 228, 307]",,0.0,,0.12,,0.01,,0.6,,0.11,,0.08,
0.06,,"[85, 78, 227, 311]",,0.0,,0.17,,0.01,,0.58,,0.09,,0.08,
0.07,,"[86, 82, 228, 307]",,0.0,,0.13,,0.0,,0.62,,0.1,,0.08,
0.07,,"[85, 76, 227, 312]",,0.0,,0.19,,0.01,,0.57,,0.09,,0.08,
0.06,,"[86, 78, 226, 310]",,0.0,,0.14,,0.01,,0.62,,0.09,,0.07,
0.04,,"[84, 83, 229, 309]",,0.0,,0.1,,0.01,,0.76,,0.06,,0.02,
0.07,,"[85, 82, 226, 306]",,0.0,,0.15,,0.01,,0.65,,0.07,,0.06,
0.08,,"[83, 84, 228, 306]",,0.0,,0.15,,0.01,,0.7,,0.04,,0.0,
0.08,,"[83, 84, 228, 306]",,0.0,,0.15,,0.01,,0.71,,0.04,,0.0,
0.05,,"[84, 83, 224, 302]",,0.0,,0.22,,0.01,,0.64,,0.07,,0.0,
0.04,,"[86, 84, 222, 300]",,0.0,,0.12,,0.01,,0.77,,0.06,,0.0,
0.09,,"[84, 86, 227, 304]",,0.01,,0.21,,0.01,,0.62,,0.06,,0.0,
0.08,,"[84, 85, 228, 306]",,0.01,,0.21,,0.01,,0.62,,0.06,,0.0,
0.1,,"[84, 83, 230, 308]",,0.0,,0.21,,0.01,,0.62,,0.06,,0.0,
0.11,,"[84, 83, 230, 308]",,0.0,,0.21,,0.01,,0.62,,0.06,,0.0,
0.06,,"[83, 82, 232, 311]",,0.0,,0.15,,0.01,,0.71,,0.06,,0.0,
0.05,,"[82, 77, 229, 307]",,0.0,,0.22,,0.01,,0.64,,0.08,,0.0,
0.04,,"[84, 82, 230, 309]",,0.0,,0.12,,0.01,,0.78,,0.06,,0.0,
0.06,,"[84, 83, 229, 307]",,0.0,,0.15,,0.01,,0.71,,0.07,,0.0,
0.03,,"[84, 83, 229, 309]",,0.0,,0.16,,0.01,,0.7,,0.09,,0.01,
0.03,,"[84, 82, 230, 311]",,0.0,,0.16,,0.01,,0.68,,0.1,,0.01,
0.03,,"[84, 82, 230, 310]",,0.0,,0.14,,0.01,,0.72,,0.1,,0.01,
0.04,,"[85, 83, 229, 309]",,0.0,,0.14,,0.01,,0.7,,0.11,,0.02,
0.09,,"[85, 86, 226, 299]",,0.0,,0.22,,0.01,,0.52,,0.14,,0.03,
0.07,,"[84, 82, 228, 307]",,0.0,,0.19,,0.0,,0.59,,0.13,,0.02,
0.16,,"[74, 67, 242, 322]",,0.0,,0.33,,0.01,,0.3,,0.15,,0.05,
0.08,,"[84, 83, 227, 302]",,0.0,,0.2,,0.01,,0.54,,0.15,,0.01,
0.08,,"[83, 80, 229, 304]",,0.0,,0.18,,0.01,,0.52,,0.18,,0.03,
0.08,,"[84, 81, 228, 303]",,0.0,,0.18,,0.01,,0.55,,0.17,,0.02,
0.08,0.07,"[84, 80, 228, 305]","[343, 222, 56, 81]",0.0,0.0,0.19,0.23,0.01,0.2,0.55,0.21,0.16,0.27,0.02,0.02
0.08,,"[84, 79, 228, 305]",,0.0,,0.19,,0.01,,0.5,,0.2,,0.03,
0.1,,"[85, 82, 228, 302]",,0.0,,0.18,,0.0,,0.51,,0.18,,0.02,
0.11,,"[85, 81, 228, 304]",,0.0,,0.2,,0.0,,0.5,,0.17,,0.02,
0.09,,"[86, 83, 227, 302]",,0.0,,0.21,,0.01,,0.49,,0.2,,0.01,
0.09,,"[86, 82, 228, 303]",,0.0,,0.21,,0.0,,0.48,,0.2,,0.02,
0.1,,"[86, 83, 228, 302]",,0.0,,0.21,,0.01,,0.49,,0.18,,0.01,
0.1,,"[87, 84, 227, 301]",,0.0,,0.21,,0.01,,0.47,,0.2,,0.01,
0.09,,"[88, 85, 227, 301]",,0.0,,0.16,,0.01,,0.56,,0.18,,0.01,
0.12,,"[87, 83, 228, 302]",,0.0,,0.23,,0.0,,0.41,,0.23,,0.01,
0.04,,"[88, 85, 229, 309]",,0.0,,0.08,,0.0,,0.77,,0.1,,0.01,
0.03,,"[89, 85, 228, 309]",,0.0,,0.08,,0.0,,0.76,,0.11,,0.01,
0.05,,"[89, 85, 229, 308]",,0.0,,0.08,,0.0,,0.74,,0.12,,0.01,
0.05,,"[89, 85, 229, 308]",,0.0,,0.07,,0.0,,0.76,,0.11,,0.01,
0.06,,"[89, 85, 229, 308]",,0.0,,0.1,,0.0,,0.71,,0.12,,0.01,
0.06,,"[89, 85, 229, 308]",,0.0,,0.1,,0.0,,0.71,,0.12,,0.01,
0.05,,"[89, 86, 229, 306]",,0.0,,0.18,,0.0,,0.67,,0.08,,0.01,
0.04,,"[89, 87, 229, 306]",,0.0,,0.18,,0.0,,0.67,,0.09,,0.01,
0.14,,"[85, 84, 233, 304]",,0.01,,0.25,,0.01,,0.52,,0.07,,0.0,
0.15,,"[85, 84, 233, 304]",,0.01,,0.26,,0.01,,0.51,,0.07,,0.0,
0.12,,"[86, 83, 233, 306]",,0.0,,0.17,,0.01,,0.64,,0.06,,0.0,
0.13,,"[85, 83, 233, 306]",,0.0,,0.21,,0.01,,0.59,,0.06,,0.0,
0.05,,"[87, 83, 233, 310]",,0.0,,0.13,,0.01,,0.76,,0.05,,0.0,
0.06,,"[86, 83, 234, 310]",,0.0,,0.17,,0.01,,0.72,,0.05,,0.0,
0.04,,"[85, 80, 235, 315]",,0.0,,0.13,,0.01,,0.74,,0.07,,0.01,
0.03,,"[86, 82, 234, 313]",,0.0,,0.13,,0.01,,0.75,,0.08,,0.0,
0.05,,"[86, 82, 233, 312]",,0.0,,0.1,,0.0,,0.71,,0.12,,0.01,
0.04,,"[86, 83, 233, 311]",,0.0,,0.11,,0.01,,0.71,,0.14,,0.01,
0.05,,"[87, 83, 232, 310]",,0.0,,0.08,,0.01,,0.75,,0.11,,0.01,
0.05,,"[87, 83, 232, 310]",,0.0,,0.08,,0.01,,0.75,,0.11,,0.01,
0.15,,"[87, 79, 230, 307]",,0.0,,0.22,,0.01,,0.44,,0.16,,0.02,
0.12,,"[87, 77, 231, 309]",,0.0,,0.23,,0.01,,0.46,,0.12,,0.05,
0.15,,"[87, 78, 231, 308]",,0.0,,0.26,,0.01,,0.41,,0.14,,0.03,
0.1,,"[86, 76, 232, 309]",,0.0,,0.21,,0.01,,0.47,,0.14,,0.07,
0.11,,"[86, 76, 232, 310]",,0.0,,0.18,,0.01,,0.52,,0.12,,0.06,
0.12,,"[86, 79, 231, 307]",,0.0,,0.23,,0.01,,0.47,,0.16,,0.02,
0.06,,"[87, 84, 231, 309]",,0.0,,0.08,,0.01,,0.72,,0.12,,0.01,
0.06,,"[87, 84, 230, 309]",,0.0,,0.08,,0.0,,0.72,,0.11,,0.01,
0.14,,"[87, 79, 230, 307]",,0.0,,0.23,,0.01,,0.47,,0.14,,0.01,
0.16,,"[87, 78, 230, 307]",,0.0,,0.3,,0.01,,0.34,,0.13,,0.06,
0.14,,"[86, 80, 231, 305]",,0.0,,0.24,,0.01,,0.46,,0.13,,0.02,
0.15,,"[86, 80, 231, 305]",,0.0,,0.24,,0.01,,0.45,,0.14,,0.01,
0.05,,"[83, 84, 232, 309]",,0.0,,0.12,,0.0,,0.77,,0.06,,0.0,
0.05,,"[83, 84, 232, 309]",,0.0,,0.12,,0.0,,0.77,,0.05,,0.0,
0.11,,"[82, 83, 233, 306]",,0.0,,0.23,,0.01,,0.59,,0.07,,0.0,
0.11,,"[83, 83, 233, 307]",,0.0,,0.18,,0.01,,0.64,,0.06,,0.0,
0.07,,"[81, 80, 235, 310]",,0.0,,0.23,,0.01,,0.61,,0.08,,0.0,
0.07,,"[81, 79, 235, 311]",,0.01,,0.3,,0.01,,0.52,,0.1,,0.0,
0.07,,"[84, 80, 231, 307]",,0.0,,0.21,,0.02,,0.63,,0.07,,0.0,
0.07,,"[84, 80, 231, 307]",,0.0,,0.21,,0.02,,0.61,,0.08,,0.0,
0.12,,"[82, 82, 235, 309]",,0.0,,0.22,,0.01,,0.57,,0.09,,0.0,
0.12,,"[81, 83, 235, 308]",,0.0,,0.23,,0.01,,0.56,,0.08,,0.0,
0.03,,"[84, 86, 232, 306]",,0.0,,0.1,,0.01,,0.82,,0.04,,0.0,
0.03,,"[84, 87, 232, 304]",,0.0,,0.1,,0.01,,0.82,,0.04,,0.0,
0.03,,"[86, 86, 230, 305]",,0.0,,0.06,,0.01,,0.82,,0.08,,0.0,
0.03,,"[86, 85, 230, 307]",,0.0,,0.06,,0.01,,0.85,,0.06,,0.0,
0.03,,"[85, 85, 231, 307]",,0.0,,0.07,,0.01,,0.8,,0.08,,0.0,
0.04,,"[86, 85, 230, 306]",,0.0,,0.07,,0.01,,0.8,,0.08,,0.0,
0.04,,"[87, 84, 229, 308]",,0.0,,0.06,,0.01,,0.8,,0.09,,0.0,
0.03,,"[86, 84, 230, 308]",,0.0,,0.07,,0.01,,0.8,,0.09,,0.0,
0.05,,"[86, 83, 229, 305]",,0.0,,0.12,,0.01,,0.7,,0.11,,0.01,
0.05,,"[85, 83, 229, 304]",,0.0,,0.14,,0.01,,0.7,,0.1,,0.01,
0.05,,"[86, 83, 229, 303]",,0.0,,0.14,,0.02,,0.68,,0.11,,0.01,
0.05,,"[86, 83, 229, 303]",,0.0,,0.13,,0.02,,0.68,,0.11,,0.01,
0.05,,"[86, 83, 228, 302]",,0.0,,0.21,,0.02,,0.57,,0.14,,0.01,
0.05,,"[85, 83, 229, 302]",,0.0,,0.21,,0.02,,0.58,,0.13,,0.01,
0.07,,"[85, 78, 228, 306]",,0.0,,0.18,,0.01,,0.58,,0.14,,0.01,
0.1,,"[86, 80, 227, 304]",,0.0,,0.17,,0.02,,0.56,,0.16,,0.01,
0.07,,"[85, 84, 229, 305]",,0.0,,0.12,,0.01,,0.6,,0.19,,0.01,
0.07,,"[85, 83, 230, 307]",,0.0,,0.11,,0.01,,0.62,,0.19,,0.0,
0.05,,"[85, 83, 230, 308]",,0.0,,0.07,,0.01,,0.69,,0.18,,0.0,
0.06,,"[84, 84, 230, 305]",,0.0,,0.09,,0.01,,0.65,,0.19,,0.0,
0.05,,"[84, 84, 229, 305]",,0.0,,0.11,,0.01,,0.62,,0.2,,0.01,
0.05,,"[84, 84, 230, 305]",,0.0,,0.09,,0.01,,0.61,,0.23,,0.01,
0.05,,"[84, 83, 230, 308]",,0.0,,0.08,,0.01,,0.69,,0.18,,0.01,
0.05,,"[84, 83, 229, 308]",,0.0,,0.08,,0.01,,0.68,,0.18,,0.01,
0.05,,"[83, 82, 230, 309]",,0.0,,0.11,,0.01,,0.63,,0.2,,0.01,
0.04,,"[83, 82, 231, 309]",,0.0,,0.11,,0.01,,0.64,,0.19,,0.01,
0.03,,"[83, 86, 230, 305]",,0.0,,0.19,,0.01,,0.62,,0.15,,0.01,
0.03,,"[82, 85, 231, 307]",,0.0,,0.19,,0.01,,0.64,,0.13,,0.01,
0.06,,"[82, 79, 232, 309]",,0.0,,0.26,,0.03,,0.53,,0.12,,0.0,
0.09,,"[83, 80, 231, 307]",,0.0,,0.29,,0.03,,0.48,,0.12,,0.0,
0.09,,"[83, 80, 232, 308]",,0.0,,0.32,,0.02,,0.45,,0.11,,0.0,
0.1,,"[82, 80, 233, 309]",,0.0,,0.32,,0.02,,0.44,,0.12,,0.0,
0.09,,"[82, 80, 233, 307]",,0.0,,0.25,,0.03,,0.47,,0.15,,0.0,
0.08,,"[82, 79, 233, 309]",,0.0,,0.26,,0.03,,0.49,,0.14,,0.0,
0.04,,"[84, 85, 231, 307]",,0.0,,0.15,,0.02,,0.65,,0.14,,0.0,
0.05,,"[85, 85, 230, 307]",,0.0,,0.13,,0.02,,0.64,,0.16,,0.0,
0.03,,"[83, 84, 232, 307]",,0.0,,0.13,,0.01,,0.63,,0.18,,0.0,
0.03,,"[83, 84, 231, 307]",,0.0,,0.14,,0.01,,0.67,,0.15,,0.0,
0.03,,"[84, 83, 230, 308]",,0.0,,0.08,,0.01,,0.76,,0.13,,0.0,
0.03,,"[84, 82, 230, 308]",,0.0,,0.1,,0.01,,0.68,,0.17,,0.0,
0.03,,"[84, 82, 229, 308]",,0.0,,0.07,,0.01,,0.74,,0.14,,0.0,
0.04,,"[84, 81, 230, 309]",,0.0,,0.09,,0.02,,0.69,,0.15,,0.0,
0.06,,"[84, 76, 228, 307]",,0.0,,0.17,,0.03,,0.51,,0.23,,0.01,
0.05,,"[84, 78, 228, 304]",,0.0,,0.18,,0.02,,0.5,,0.24,,0.01,
0.03,,"[84, 81, 230, 308]",,0.0,,0.1,,0.02,,0.71,,0.13,,0.01,
0.03,,"[84, 82, 230, 307]",,0.0,,0.09,,0.02,,0.72,,0.14,,0.01,
0.03,,"[83, 82, 231, 308]",,0.0,,0.08,,0.02,,0.73,,0.13,,0.01,
0.03,,"[84, 82, 230, 307]",,0.0,,0.1,,0.02,,0.71,,0.14,,0.01,
0.03,,"[84, 83, 230, 307]",,0.0,,0.07,,0.01,,0.77,,0.11,,0.01,
0.04,,"[84, 83, 230, 306]",,0.0,,0.11,,0.01,,0.71,,0.13,,0.01,
0.04,,"[84, 83, 230, 306]",,0.0,,0.11,,0.01,,0.69,,0.14,,0.01,
0.04,,"[84, 83, 229, 306]",,0.0,,0.11,,0.01,,0.69,,0.13,,0.01,
0.06,,"[84, 82, 230, 307]",,0.0,,0.17,,0.01,,0.49,,0.25,,0.01,
0.05,,"[84, 83, 230, 306]",,0.0,,0.14,,0.01,,0.59,,0.2,,0.01,
0.06,,"[85, 83, 229, 306]",,0.0,,0.17,,0.02,,0.48,,0.26,,0.02,
0.06,,"[85, 82, 230, 308]",,0.0,,0.17,,0.01,,0.51,,0.24,,0.01,
0.04,,"[85, 84, 229, 305]",,0.0,,0.12,,0.01,,0.65,,0.16,,0.02,
0.05,,"[85, 83, 229, 306]",,0.0,,0.15,,0.01,,0.54,,0.24,,0.02,
0.05,,"[84, 82, 230, 307]",,0.0,,0.2,,0.01,,0.48,,0.24,,0.01,
0.04,,"[84, 82, 231, 308]",,0.0,,0.14,,0.01,,0.57,,0.21,,0.01,
0.06,,"[84, 84, 231, 304]",,0.0,,0.17,,0.01,,0.51,,0.23,,0.02,
0.06,,"[85, 86, 230, 302]",,0.0,,0.11,,0.01,,0.69,,0.13,,0.01,
0.09,,"[85, 76, 229, 309]",,0.0,,0.23,,0.01,,0.43,,0.23,,0.01,
0.07,,"[85, 86, 229, 300]",,0.0,,0.15,,0.01,,0.61,,0.15,,0.01,
0.05,,"[84, 83, 231, 305]",,0.0,,0.19,,0.01,,0.52,,0.2,,0.02,
0.05,,"[83, 84, 232, 303]",,0.0,,0.19,,0.01,,0.55,,0.18,,0.02,
0.08,,"[86, 77, 228, 305]",,0.0,,0.29,,0.01,,0.28,,0.29,,0.04,
0.09,,"[84, 76, 230, 308]",,0.0,,0.22,,0.01,,0.35,,0.3,,0.02,
0.08,,"[86, 78, 228, 308]",,0.0,,0.19,,0.01,,0.52,,0.19,,0.01,
0.1,,"[86, 78, 228, 306]",,0.0,,0.24,,0.01,,0.39,,0.24,,0.03,
0.11,,"[86, 76, 228, 310]",,0.0,,0.2,,0.01,,0.39,,0.28,,0.01,
0.09,,"[86, 76, 228, 310]",,0.0,,0.19,,0.01,,0.43,,0.26,,0.01,
0.06,,"[86, 77, 228, 310]",,0.0,,0.14,,0.01,,0.6,,0.19,,0.01,
0.09,,"[85, 76, 228, 310]",,0.0,,0.16,,0.02,,0.52,,0.2,,0.01,
0.07,,"[79, 77, 239, 312]",,0.0,,0.12,,0.01,,0.64,,0.16,,0.01,
